year,state,all_instruction_pp,cpi
2005,Maryland,5970.73,191.7
2005,Massachusetts,6986.72,191.7
2005,Michigan,5319.49,191.7
2005,Minnesota,5652.99,191.7
2005,Mississippi,3914.91,191.7
2005,Missouri,4672.71,191.7
2005,Montana,4921.83,191.7
2005,Nebraska,5213.82,191.7
2005,Nevada,4163.4,191.7
2005,New Hampshire,5931.25,191.7
2005,New Jersey,7966.36,191.7
2005,New Mexico,4280.86,191.7
2005,New York,9721.6,191.7
2005,North Carolina,4530.9,191.7
2005,North Dakota,4998.09,191.7
2005,Ohio,5271.62,191.7
2005,Oklahoma,3661.77,191.7
2005,Oregon,4772.83,191.7
2005,Pennsylvania,6381.41,191.7
2005,Rhode Island,6063.63,191.7
2005,South Carolina,4438.67,191.7
2005,South Dakota,4317.91,191.7
2005,Tennessee,4377.95,191.7
2005,Texas,4371.99,191.7
2005,Utah,3345.02,191.7
2005,Vermont,7314.57,191.7
2005,Virginia,5451.19,191.7
2005,Washington,4538.91,191.7
2005,West Virginia,5454.12,191.7
2005,Wisconsin,5968.01,191.7
2005,Wyoming,6066.81,191.7
2006,United States,5543.13,198.9416667
2006,Alabama,4468.72,198.9416667
2006,Alaska,6557.41,198.9416667
2006,Arizona,3717.48,198.9416667
2006,Arkansas,4788.04,198.9416667
2006,California,5126.57,198.9416667
2006,Colorado,4562.68,198.9416667
2006,Connecticut,7637.29,198.9416667
2006,Delaware,7095.58,198.9416667
2006,District of Columbia,5729.02,198.9416667
2006,Florida,4583.98,198.9416667
2006,Georgia,5369.48,198.9416667
2006,Hawaii,5893.02,198.9416667
2006,Idaho,3979.59,198.9416667
2006,Illinois,5386.69,198.9416667
2006,Indiana,5211.94,198.9416667
2006,Iowa,5016.37,198.9416667
2006,Kansas,5102.78,198.9416667
2006,Kentucky,4535.25,198.9416667
2006,Louisiana,4885.76,198.9416667
2006,Maine,6804.04,198.9416667
2006,Maryland,6436.11,198.9416667
2006,Massachusetts,7406.45,198.9416667
2006,Michigan,5437,198.9416667
2006,Minnesota,5890.65,198.9416667
2006,Mississippi,4243.38,198.9416667
2006,Missouri,4894.96,198.9416667
2006,Montana,5188.42,198.9416667
2006,Nebraska,5488.75,198.9416667
2006,Nevada,4459.63,198.9416667
2006,New Hampshire,6306.89,198.9416667
2006,New Jersey,8440.81,198.9416667
2006,New Mexico,4591.48,198.9416667
2006,New York,10285.06,198.9416667
2006,North Carolina,4568.88,198.9416667
2006,North Dakota,5226.67,198.9416667
2006,Ohio,5425.03,198.9416667
2006,Oklahoma,3842.49,198.9416667
2006,Oregon,4998.51,198.9416667
2006,Pennsylvania,6612.13,198.9416667
2006,Rhode Island,6855.6,198.9416667
2006,South Carolina,4698.19,198.9416667
2006,South Dakota,4534.86,198.9416667
2006,Tennessee,4453.88,198.9416667
2006,Texas,4561.46,198.9416667
2006,Utah,3442.66,198.9416667
2006,Vermont,7799.82,198.9416667
2006,Virginia,5784.8,198.9416667
2006,Washington,4678.62,198.9416667
2006,West Virginia,5610.27,198.9416667
2006,Wisconsin,6083.97,198.9416667
2006,Wyoming,6629.06,198.9416667
2007,United States,5867.06,204.112
2007,Alabama,4911.35,204.112
2007,Alaska,7014.14,204.112
2007,Arizona,4101.85,204.112
2007,Arkansas,4919.58,204.112
2007,California,5508.11,204.112
2007,Colorado,4748.39,204.112
2007,Connecticut,7988.2,204.112
2007,Delaware,7149.04,204.112
2007,District of Columbia,6225.61,204.112
2007,Florida,5073.5,204.112
2007,Georgia,5815.97,204.112
2007,Hawaii,6516.87,204.112
2007,Idaho,4066.15,204.112
2007,Illinois,5626.6,204.112
2007,Indiana,5326.36,204.112
2007,Iowa,5293.96,204.112
2007,Kansas,5547.17,204.112
2007,Kentucky,4926.41,204.112
2007,Louisiana,5179.31,204.112
2007,Maine,7267.56,204.112
2007,Maryland,7081.68,204.112
2007,Massachusetts,7846.45,204.112
2007,Michigan,5650.05,204.112
2007,Minnesota,6163.4,204.112
2007,Mississippi,4372.08,204.112
2007,Missouri,5174.29,204.112
2007,Montana,5502.02,204.112
2007,Nebraska,5776.29,204.112
2007,Nevada,4841.85,204.112
2007,New Hampshire,6700.58,204.112
2007,New Jersey,9137.47,204.112
2007,New Mexico,4912.19,204.112
2007,New York,11042.3,204.112
2007,North Carolina,4934.64,204.112
2007,North Dakota,5423.42,204.112
2007,Ohio,5516.78,204.112
2007,Oklahoma,4207.87,204.112
2007,Oregon,5279.93,204.112
2007,Pennsylvania,6608.27,204.112
2007,Rhode Island,7333.89,204.112
2007,South Carolina,4908.18,204.112
2007,South Dakota,4735.76,204.112
2007,Tennessee,4571.94,204.112
2007,Texas,4665.95,204.112
2007,Utah,3603.51,204.112
2007,Vermont,8268.63,204.112
2007,Virginia,6248.36,204.112
2007,Washington,5017.74,204.112
2007,West Virginia,5717.24,204.112
2007,Wisconsin,6270.84,204.112
2007,Wyoming,7781.75,204.112
2008,United States,6211.29,211.684
2008,Alabama,5309.46,211.684
2008,Alaska,8523.1,211.684
2008,Arizona,4306.3,211.684
2008,Arkansas,5009.12,211.684
2008,California,5904.34,211.684
2008,Colorado,5286.46,211.684
2008,Connecticut,8509.11,211.684
2008,Delaware,7430.62,211.684
2008,District of Columbia,6541.85,211.684
2008,Florida,5440.05,211.684
2008,Georgia,6210.24,211.684
2008,Hawaii,7125.39,211.684
2008,Idaho,4229.18,211.684
2008,Illinois,6022.43,211.684
2008,Indiana,5324.04,211.684
2008,Iowa,5642.71,211.684
2008,Kansas,5922.38,211.684
2008,Kentucky,5138.53,211.684
2008,Louisiana,5851.78,211.684
2008,Maine,6677.26,211.684
2008,Maryland,7821.14,211.684
2008,Massachusetts,8304.49,211.684
2008,Michigan,5728.85,211.684
2008,Minnesota,6477,211.684
2008,Mississippi,4634.55,211.684
2008,Missouri,5559.19,211.684
2008,Montana,5828.64,211.684
2008,Nebraska,6133.64,211.684
2008,Nevada,4884.81,211.684
2008,New Hampshire,7269.17,211.684
2008,New Jersey,9545.98,211.684
2008,New Mexico,5265.7,211.684
2008,New York,11817.99,211.684
2008,North Carolina,5033.34,211.684
2008,North Dakota,5815.67,211.684
2008,Ohio,5705.87,211.684
2008,Oklahoma,4322.1,211.684
2008,Oregon,5564.45,211.684
2008,Pennsylvania,7133.76,211.684
2008,Rhode Island,7856.67,211.684
2008,South Carolina,5209.28,211.684
2008,South Dakota,5014.19,211.684
2008,Tennessee,4889.07,211.684
2008,Texas,4986.46,211.684
2008,Utah,3717.8,211.684
2008,Vermont,8737.01,211.684
2008,Virginia,6497.53,211.684
2008,Washington,5398.14,211.684
2008,West Virginia,5919.79,211.684
2008,Wisconsin,6474.74,211.684
2008,Wyoming,8184.94,211.684
2009,United States,6368.76,214.6485833
2009,Alabama,5141.77,214.6485833
2009,Alaska,8674.68,214.6485833
2009,Arizona,4376.5,214.6485833
2009,Arkansas,5088.97,214.6485833
2009,California,5775.84,214.6485833
2009,Colorado,5047.19,214.6485833
2009,Connecticut,8872.02,214.6485833
2009,Delaware,7474.8,214.6485833
2009,District of Columbia,7459.75,214.6485833
2009,Florida,5293.15,214.6485833
2009,Georgia,6052.13,214.6485833
2009,Hawaii,7813.24,214.6485833
2009,Idaho,4320.32,214.6485833
2009,Illinois,6330.45,214.6485833
2009,Indiana,5388.99,214.6485833
2009,Iowa,5977.07,214.6485833
2009,Kansas,6128.04,214.6485833
2009,Kentucky,5177.5,214.6485833
2009,Louisiana,6113.68,214.6485833
2009,Maine,7059.13,214.6485833
2009,Maryland,8176.7,214.6485833
2009,Massachusetts,8737.17,214.6485833
2009,Michigan,6057.22,214.6485833
2009,Minnesota,7241.95,214.6485833
2009,Mississippi,4718.52,214.6485833
2009,Missouri,5759.3,214.6485833
2009,Montana,6043.42,214.6485833
2009,Nebraska,6460.23,214.6485833
2009,Nevada,4978.78,214.6485833
2009,New Hampshire,7433.88,214.6485833
2009,New Jersey,9336.87,214.6485833
2009,New Mexico,5498.36,214.6485833
2009,New York,12524.14,214.6485833
2009,North Carolina,5470.45,214.6485833
2009,North Dakota,6125.85,214.6485833
2009,Ohio,5940.34,214.6485833
2009,Oklahoma,4401.39,214.6485833
2009,Oregon,5690.05,214.6485833
2009,Pennsylvania,7516.43,214.6485833
2009,Rhode Island,7906.4,214.6485833
2009,South Carolina,5329.5,214.6485833
2009,South Dakota,5097.45,214.6485833
2009,Tennessee,4953.93,214.6485833
2009,Texas,5141.98,214.6485833
2009,Utah,4074.57,214.6485833
2009,Vermont,9183.76,214.6485833
2009,Virginia,6629.68,214.6485833
2009,Washington,5775.42,214.6485833
2009,West Virginia,6241.03,214.6485833
2009,Wisconsin,6755.53,214.6485833
2009,Wyoming,8564.66,214.6485833
2010,United States,6465.11,216.7613333
2010,Alabama,5205.16,216.7613333
2010,Alaska,8773.32,216.7613333
2010,Arizona,4380.71,216.7613333
2010,Arkansas,5301.19,216.7613333
2010,California,5642.67,216.7613333
2010,Colorado,5116.53,216.7613333
2010,Connecticut,9273.15,216.7613333
2010,Delaware,7621.06,216.7613333
2010,District of Columbia,8394.43,216.7613333
2010,Florida,5278.97,216.7613333
2010,Georgia,5871.64,216.7613333
2010,Hawaii,7334.55,216.7613333
2010,Idaho,4349.09,216.7613333
2010,Illinois,6919.89,216.7613333
2010,Indiana,5593.66,216.7613333
2010,Iowa,6046.05,216.7613333
2010,Kansas,6015.62,216.7613333
2010,Kentucky,5319.28,216.7613333
2010,Louisiana,6231.6,216.7613333
2010,Maine,7202.19,216.7613333
2010,Maryland,8426.6,216.7613333
2010,Massachusetts,8320.45,216.7613333
2010,Michigan,6206.4,216.7613333
2010,Minnesota,7081.83,216.7613333
2010,Mississippi,4753.75,216.7613333
2010,Missouri,5836.28,216.7613333
2010,Montana,6321.6,216.7613333
2010,Nebraska,7085.5,216.7613333
2010,Nevada,4994.9,216.7613333
2010,New Hampshire,7789.12,216.7613333
2010,New Jersey,9739.95,216.7613333
2010,New Mexico,5433.88,216.7613333
2010,New York,12984.23,216.7613333
2010,North Carolina,5287.86,216.7613333
2010,North Dakota,6604.19,216.7613333
2010,Ohio,6170.64,216.7613333
2010,Oklahoma,4437.89,216.7613333
2010,Oregon,5608.16,216.7613333
2010,Pennsylvania,7903.51,216.7613333
2010,Rhode Island,7980.45,216.7613333
2010,South Carolina,5236.93,216.7613333
2010,South Dakota,5335.86,216.7613333
2010,Tennessee,5079.2,216.7613333
2010,Texas,5307.44,216.7613333
2010,Utah,3861.35,216.7613333
2010,Vermont,9254.36,216.7613333
2010,Virginia,6463.46,216.7613333
2010,Washington,5734.82,216.7613333
2010,West Virginia,7019.27,216.7613333
2010,Wisconsin,6931.13,216.7613333
2010,Wyoming,8959.16,216.7613333
2011,United States,6457.72,221.0613333
2011,Alabama,5143.26,221.0613333
2011,Alaska,9225.7,221.0613333
2011,Arizona,4202.3,221.0613333
2011,Arkansas,5373.55,221.0613333
2011,California,5517.22,221.0613333
2011,Colorado,5028.63,221.0613333
2011,Connecticut,9696.36,221.0613333
2011,Delaware,8001.68,221.0613333
2011,District of Columbia,8822.48,221.0613333
2011,Florida,5418.07,221.0613333
2011,Georgia,5739.98,221.0613333
2011,Hawaii,6979.55,221.0613333
2011,Idaho,4156.94,221.0613333
2011,Illinois,6986.03,221.0613333
2011,Indiana,5475.69,221.0613333
2011,Iowa,6070.99,221.0613333
2011,Kansas,5879.16,221.0613333
2011,Kentucky,5444.62,221.0613333
2011,Louisiana,6258.46,221.0613333
2011,Maine,7325.46,221.0613333
2011,Maryland,8457.47,221.0613333
2011,Massachusetts,8562.64,221.0613333
2011,Michigan,6317.99,221.0613333
2011,Minnesota,7065.76,221.0613333
